Sentence,Paper Name,Intrinsic Hallucination,Extrinsic Hallucination,Aspect,Hallucination,Temperature
The authors believe the improvement can lead to significant reduction in training times.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Main Results,0,0.8
The authors believe the improvement can lead to improvement in quality.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Main Results,0,0.8
Faster planerelated structured 3D reconstruction method.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Contribution,0,0.8
Learned the planerelated structured 3D primitive.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Contribution,0,0.8
Learned the planerelated structured 3D primitive directly from input images without the need for plane annotation.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Contribution,0,0.8
Directly optimizes the planerelated structured 3D planes during training.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Contribution,0,0.8
Directly learns solid planes.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Contribution,0,0.8
Directly optimizes the planerelated structured 3D primitive.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Contribution,0,0.8
Directly learns the planerelated structured 3D primitive.,PlanarSplatting: Accurate Planar Surface Reconstruction in 3 Minutes,No,No,Contribution,0,0.8
"This paper presents a novel approach to Multi-Task Learning (MTL), called PIVRG (Performance-Informed Variance Reduction).",Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,Yes,No,Contribution,1,0.8
It aims to improve the performance and fairness of MTL by incorporating a performance-level information indicator to measure the current optimization status of each task.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Paper Goal,0,0.8
"MTL often faces the challenge of task imbalance, where some tasks dominate the learning process, leading to a drop in overall performance.",Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Motivation,0,0.8
Most existing methods adaptively optimize only for single tasks while not considering the fairness of MTL.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,Yes,No,Motivation,1,0.8
Our proposed PIVRG method introduces a new idea: using the performance variance among tasks as a fairness indicator.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Contribution,0,0.8
"This provides a meaningful measure of the current optimization status of each task, which helps to reduce the performance variance across tasks.",Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Contribution,0,0.8
Introduce a dynamic weighting strategy based on the performance variance among tasks.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Methodology,0,0.8
Use the performance variance among tasks as a fairness indicator.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Methodology,0,0.8
Introduce a dynamic weighting mechanism to progressively reduce the performance variance.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Methodology,0,0.8
Introduce a dynamic weight formulation that adjusts the weight based on the performance variance.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Methodology,0,0.8
PIVRG outperforms other existing MTL approaches.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Main Results,0,0.8
"PIVRG achieves the nearest SOTA value on multiple benchmarks, including NYUv2, CityScapes, QM9, and CelebA.",Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Main Results,0,0.8
"On the evaluation of 2-4 tasks with varying numbers of tasks, PIVRG recovers the highest performance and has the lowest variance.",Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,Yes,No,Main Results,1,0.8
PIVRG shows a better overall performance.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Main Results,0,0.8
PIVRG achieves the highest SOTA value with the NYUv2 test set and the lowest variance is observed in the CelebA test set.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,Yes,No,Main Results,1,0.8
PIVRG is applied to the Meta-World benchmark.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Main Results,0,0.8
PIVRG is applied to the SWAG dataset.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,Yes,Main Results,1,0.8
PIVRG is applied to the RACAWA dataset.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,Yes,Main Results,1,0.8
The experimental results (Tables 1 and 2) further demonstrate the effectiveness of PIVRG.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Main Results,0,0.8
PIVRG is a novel framework that combines the current understanding of fairness into a performance-informed variance reduction.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Contribution,0,0.8
It efficiently measures the performance and fairness of each task and leverages the performance variance among tasks to improve the overall optimization process.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Contribution,0,0.8
The combination of PIVRG with existing MTL methods can lead to significant improvements in multi-task learning.,Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction,No,No,Main Results,0,0.8
Qwen has made a significant contribution by providing a new type of face-level encoding architecture for design learning.,Self-Supervised Representation Learning for CAD,No,Yes,Contribution,1,0.8
"By leveraging unlabeled CAD geometry, they successfully leverage the latent space of B-Rep geometry to learn a novel self-supervision mechanism called B-Rep self-supervision, which bridges the gap between CAD and ML tasks.",Self-Supervised Representation Learning for CAD,No,No,Contribution,0,0.8
"This allowed them to learn the implicit insights of CAD geometry to make meaningful predictions in the supervised context, even on a small dataset size.",Self-Supervised Representation Learning for CAD,No,No,Contribution,0,0.8
The work demonstrated the potential of using unlabeled CAD data for guiding ML tasks and provided a new approach for designing new CAD learning applications.,Self-Supervised Representation Learning for CAD,No,No,Contribution,0,0.8
"Data is the foundation of learning; the rich data becomes more significant; the deeper the data, the more valuable.",Self-Supervised Representation Learning for CAD,No,No,Motivation,0,0.8
"Qwen has made an impactful contribution to the field of CAD algorithms, showing that leveraging unlabeled CAD data can lead to new opportunities for supervised learning and CAD applications.",Self-Supervised Representation Learning for CAD,No,Yes,Contribution,1,0.8
The work demonstrates the value of using different methods for data preprocessing and the necessity of extending research to include other application areas such as CAD.,Self-Supervised Representation Learning for CAD,Yes,No,Contribution,1,0.8
"As a summary for the paper ""SINGS: A Novel Single-Image 3D Human Avatar Reconstruction Framework,"" I will provide a summary of the contributions of the authors.",SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,Yes,No,Paper Goal,1,0.8
The authors aimed to develop a unified framework for achieving high-quality and efficient 3D avatar reconstruction from a single image by addressing the challenges of incomplete observation and inconsistent 3D priors.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Paper Goal,0,0.8
The authors observed the limitations of existing methods when improving models for single-image human 3D reconstruction.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Motivation,0,0.8
They concluded that the existing methods were not scalable or efficient enough to address the challenges.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Motivation,0,0.8
The authors aim to develop a novel single-image 3D human avatar reconstruction framework that can achieve a high balance between efficiency and rendering quality.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Paper Goal,0,0.8
The authors identified that the existing methods were not scalable or efficient enough to address the challenges of single-image human 3D reconstruction.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Motivation,0,0.8
The authors observed that the existing methods were not scalable or efficient enough to address the challenges of single-image human 3D reconstruction.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Motivation,0,0.8
The authors propose a novel single-image 3D human avatar reconstruction framework that aims to achieve a high balance between efficiency and rendering quality.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Contribution,0,0.8
The authors demonstrated through extensive experiments that their framework can achieve high-quality and efficient animatable 3D avatar reconstruction on multiple image sequences while maintaining both high quality and inference efficiency.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Main Results,0,0.8
The authors noted that the existing methods were not scalable or efficient enough to address the challenges of single-image human 3D reconstruction.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Motivation,0,0.8
The authors identified that the existing methods were not scalable or efficient enough to address the challenges of single-image human 3D reconstruction.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Motivation,0,0.8
The authors aim to develop a novel single-image 3D human avatar reconstruction framework that can achieve a high balance between efficiency and rendering quality.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Paper Goal,0,0.8
The authors propose a novel single-image 3D human avatar reconstruction framework that aims to achieve a high balance between efficiency and rendering quality.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Contribution,0,0.8
The authors demonstrated through extensive experiments that their framework can achieve high-quality and efficient animatable 3D avatar reconstruction on multiple image sequences while maintaining both high quality and inference efficiency.,SinGS: Animatable Single-Image Human Gaussian Splats with Kinematic Priors,No,No,Main Results,0,0.8
"SketchAgent, a language-driven, sequential sketch generation method by leveraging multimodal large language models (LLMs).",SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Contribution,0,0.8
"Our approach introduces a sketching language, described as a sequential string of coordinates, that allows the agent to ""draw"" on a canvas by referring to specific coordinates.",SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Methodology,0,0.8
"The agent's response outlines a sketching strategy, calculated by the model, which includes a series of semantically meaningful strokes.",SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Methodology,0,0.8
"The canvas serves as a canvas, which can be used to draw sketches by the agent, effectively enabling the agent to generate and edit sketches interactively.",SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Methodology,0,0.8
"Our method leverages multimodal LLMs trained on various datasets to enable versatile, progressive, language-driven sketch generation.",SketchAgent: Language-Driven Sequential Sketch Generation,Yes,No,Methodology,1,0.8
"By providing an intuitive, sequential interface, the agent can emulate the sketching process and participate in human-agent sketching, a collaborative process.",SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Methodology,0,0.8
The Canvas can be reused multiple times.,SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Methodology,0,0.8
The development of SketchAgent was motivated by the challenges of providing a versatile sketching language that supports various art forms and disciplines.,SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Motivation,0,0.8
"Previous methods relied on human-drawn datasets to train generative models, which was constrained by their diversity and limitation.",SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Motivation,0,0.8
This paper introduces a new approach for a general-purpose sketching system that addresses the challenges of understanding and capturing the dynamic and abstract nature of humans' sketching process.,SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Paper Goal,0,0.8
"The first application was e.g., a sketch like the example shown in Fig 1a with the agent reading about the concept of the drawing algorithm, writing guidelines based on them, and draw a deep drawing sketch of a human figure until the point of discussion.",SketchAgent: Language-Driven Sequential Sketch Generation,Yes,No,Methodology,1,0.8
"Furthermore, the agent learns to sketch as they go, incrementally referring back to the protocol.",SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Methodology,0,0.8
The benefits of such advanced proficiency expand the application for collaborative and creative projects.,SketchAgent: Language-Driven Sequential Sketch Generation,No,No,Contribution,0,0.8
"The paper also discussed the implementation of a Convolutional Neural Network (CNN) on our data with an attention mechanism, which is more suitable for the higher level task such as the sketching process where the CNN can capture the spatial relationships between the draws.",SketchAgent: Language-Driven Sequential Sketch Generation,No,Yes,Methodology,1,0.8
"In the paper, we use the same code base for the models and pre-processing environment for both the training and the generation processes, which precludes the need to train new models each time we generate a sketch.",SketchAgent: Language-Driven Sequential Sketch Generation,Yes,No,Methodology,1,0.8
"Furthermore, the future work include expanding the CAIVP to greater datasets to address the complexities of the graphical and geometric features of the sketch text and improve the model's generalization ability.",SketchAgent: Language-Driven Sequential Sketch Generation,No,Yes,Contribution,1,0.8
"In summary, our work represents a significant advancement towards making a general-purpose AI capable of sketching and provides a new conceptualization for the idea of a `SketchAgent` or a `VR SketchAgent` that may enable a more flexible and versatile way to envision and express ideas through the use of multimodal LLMs.",SketchAgent: Language-Driven Sequential Sketch Generation,No,Yes,Contribution,1,0.8
SkillQG: A Question Generation Framework with Controllable Comprehension Types for Assessing and Improving Machine Reading Comprehension Models.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,Yes,No,Paper Goal,1,0.8
"We present SkillQG, a question generation framework that incorporates a hierarchical skill-based schema centred on Bloom's taxonomy.",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Contribution,0,0.8
The goal is to enable the system to produce versatile and capable questions based on the cognitive demands of a given comprehension type.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Paper Goal,0,0.8
The methodology involves the formulation of comprehension types—5-dimensional skills—and the subsequent generation of skill-infused questions.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Methodology,0,0.8
"The framework is structured as a sequence-to-sequence question generator, enabling flexible and controllable generation.",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Methodology,0,0.8
The final evaluation includes both metric-wise measures and qualitative feedback from human evaluators.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Methodology,0,0.8
Question generation (QG) is a critical task in the field of text generation.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Motivation,0,0.8
"Traditionally, QG systems are designed to generate factual questions.",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Motivation,0,0.8
"However, many recent works have shifted to the question-answering task (QA).",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,Yes,No,Motivation,1,0.8
"This paper introduces SkillQG, a framework that utilizes the precision structure of Bloom's taxonomy to frame the comprehension types of questions.",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Contribution,0,0.8
"Based on the definition of a Bloom's Taxonomy (Krathwohl, 2002), we define the comprehension types of questions as a 5-dimensional skill-based schema.",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Methodology,0,0.8
We sketch the meaning of each comprehension skill with some examples.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Methodology,0,0.8
"We present SkillQG based on our framework, enabling the generation of skill-infused questions.",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Contribution,0,0.8
"The framework includes different comprehension types such as REMEMBER (remembering facts), UNDERSTAND (analyzing information), ANALYZE (comparing information), CREATE (building new concepts), and EVALUATE (evaluating the answer).",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,Yes,No,Methodology,1,0.8
We utilize a chain-of-thought prompting (equivalent to a trigger word or template) to construct the prompt input for the 5 templates of Bloom's Taxonomy.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,Yes,No,Methodology,1,0.8
The template is constructed by taking the preparatory information from the preceding passage to construct the prompt input.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Methodology,0,0.8
"The evaluation protocol includes benchmarks such as the fairness and relevance of the generated questions, the quality of the generated questions, and the relevance of the generated questions to the context.",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,Yes,No,Methodology,1,0.8
We use the FairytaleQA dataset to train and evaluate the framework.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Methodology,0,0.8
The FairytaleQA dataset is annotated for academic and playful purposes to provide a diverse range of examples and forms of questions.,SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,Yes,Methodology,1,0.8
"We compare SkillQG with different baseline QG models, including NQG++ (Zhou et al., 2017).",SkillQG: Learning to Generate Question for Reading Comprehension Assessment,No,No,Methodology,0,0.8
"Procingly, we propose a new method for generating large-scale 3D human-object interaction datasets with diverse object variation.",Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Contribution,0,0.8
We use a hierarchical diffusion model to generate synthetic data with imitative and diverse human-object shapes.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,Yes,No,Methodology,1,0.8
The HDM is an image-conditioned diffusion model for training large-scale models and it can simultaneously capture the interaction and the shape well.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Methodology,0,0.8
We demonstrate that our method can generate large-scale datasets with diverse human-object interaction features.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Contribution,0,0.8
The challenge in capturing large-scale real data poses a problem for training models.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Motivation,0,0.8
Previous methods require predefined template meshes for training them.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Motivation,0,0.8
We aim to generate large-scale datasets of 3D human-object interactions that capture complex and diverse human-object interaction features.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Paper Goal,0,0.8
We proposed a novel hierarchical diffusion model that uses the complementary production of human and object shapes.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Methodology,0,0.8
This allows us to learn the interaction and shapes efficiently.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Methodology,0,0.8
Our results show that the HDM significantly outperforms the previous methods on both the model and data generation tasks.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Main Results,0,0.8
Our code and data are publicly available.,Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Contribution,0,0.8
"This paper is the Open Access version, released by the Computer Vision Foundation.",Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,No,No,Contribution,0,0.8
"The paper presents a novel approach called ""Test-time Visual In-Context Tuning (VICT)"" that addresses the challenge of adaptability in the face of distribution shifts.",Test-Time Visual In-Context Tuning,No,No,Contribution,0,0.8
"It proposes using test-time training, where VICT can rely on insufficient test samples while still improving upon existing methods of adaptation.",Test-Time Visual In-Context Tuning,No,No,Methodology,0,0.8
The motivation is to provide a more robust visual in-context learning (VICL) model that can make use of a distributionally shifted test set.,Test-Time Visual In-Context Tuning,No,No,Motivation,0,0.8
"The authors begin by describing the proposed method for testing the adaptability of the existing VICL models under their own definition of distributional shifts, instead of relying on manually pointed out distributions (e.g., training distribution vs. test distribution).",Test-Time Visual In-Context Tuning,Yes,No,Methodology,1,0.8
They propose using cycle consistency loss to improve the model's generalizability while still allowing the model to learn from its training data.,Test-Time Visual In-Context Tuning,Yes,No,Methodology,1,0.8
"In the Experiment section, the authors demonstrate the efficacy of VICT through the ability to outperform existing methods, such as MAE for depth estimation, by using test-time training.",Test-Time Visual In-Context Tuning,No,Yes,Main Results,1,0.8
They note that the approach can benefit from being less data intensive.,Test-Time Visual In-Context Tuning,No,No,Contribution,0,0.8
"Furthermore, the authors demonstrate that VICT can also outperform existing methods for other tasks such as semantic segmentation.",Test-Time Visual In-Context Tuning,No,No,Main Results,0,0.8
"Overall, the authors highlight the power of VICT in improving upon existing methods of adaptation and provide a robust and flexible solution for testing the adaptability of visual models.",Test-Time Visual In-Context Tuning,No,No,Contribution,0,0.8
"The method is shown to have a clear baseline against existing methods, such as MAE, MAE-2, MAE-1, MAE-2, MAE-1, MAE-1.",Test-Time Visual In-Context Tuning,No,Yes,Main Results,1,0.8
"The authors also present the advantages of the method, such as being able to leverage the model's existing ability to learn from a distributional shift, compared to the existing systems.",Test-Time Visual In-Context Tuning,No,No,Contribution,0,0.8
"VICT is short on a large codebase, although it has been deployed as a lightweight implementation for various tasks such as image denoising and visual recognition.",Test-Time Visual In-Context Tuning,No,Yes,Methodology,1,0.8
"In summary, the authors of the paper are putting forward a new paradigm for visual learning based on the idea of testing with insufficient test data in order to improve the generalizability of the model, without the need to rely on existing pre-trained models for data augmentation.",Test-Time Visual In-Context Tuning,Yes,No,Contribution,1,0.8
"The proposed approach has the potential to provide a powerful solution for testing the adaptability of visual models, particularly in a setting where the distributional shift is a challenge.",Test-Time Visual In-Context Tuning,No,No,Contribution,0,0.8
"The proposed approach is straightforward, efficient, and easy to implement.",Test-Time Visual In-Context Tuning,No,No,Contribution,0,0.8
"Multi-task learning (MTL) has gained widespread application for its ability to transfer knowledge across tasks, improving resource efficiency and generalization.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Motivation,0,0.8
Previous gradient-based and loss-based methods primarily focus on gradient optimization in shared parameters.,Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Motivation,0,0.8
"This work points out that task-specific parameters not only capture task-specific information but also influence gradients propagated to shared parameters, which in turn affects gradient conflicts.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Motivation,0,0.8
"Motivated by this insight, we propose ConsMTL, a new multi-task learning paradigm that constructs a bi-level optimization problem: in the upper-level optimization, we focus on the gradient aggregation in shared parameters to find a joint update vector that minimizes gradient conflicts; in the lower-level optimization, we introduce an additional loss term for task-specific parameters to systematically mitigate gradient conflicts, guiding the task-specific gradients backpropagated to the shared parameters to gradually converge towards the joint update vector, thereby consistently mitigating the gradient conflicts.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Contribution,0,0.8
Our design enables the optimization of both shared and task-specific parameters to consistently mitigate gradient conflicts.,Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Contribution,0,0.8
"On the NYUv2 benchmark and the QM9 benchmark, ConsMTL achieves SOTA performance across varying number of tasks (3-40).",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,Yes,No,Main Results,1,0.8
Our approach is verified through extensive experiments.,Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Main Results,0,0.8
"We highlight the importance of utilizing both shared and task-specific parameters to effectively mitigate gradient conflicts, thereby aligning them with shared parameters for a consistent learning objective.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Contribution,0,0.8
"We propose ConsMTL, a novel multi-task learning framework that models MTL as a bi-level optimization problem.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Contribution,0,0.8
ConsMTL leverages the optimization of task-specific parameters to systematically mitigate gradient conflicts.,Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Contribution,0,0.8
"ConsMTL explicitly utilizes the gradient aggregation within shared parameters, even when gradient optimization in task-specific parameters is not done.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,Yes,No,Contribution,1,0.8
"ConsMTL demonstrates a significant improvement in both training and testing on the NYUv2 and QM9 benchmarks, including an increase of 30% in the average loss over the single-task learning baseline.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,Yes,No,Main Results,1,0.8
"ConsMTL surpasses the single task learning baseline on the NYUv2 benchmark by 11 out of 30 tasks for both the metrics of SOTA, MIOU and the average loss, with a 6% improvement in the overall SOTA score, showing superior performance in terms of multi-task learning accomplishments.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,Yes,Main Results,1,0.8
"On the QM9 benchmark, ConsMTL reduces the average loss by 30%.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Main Results,0,0.8
"On the more challenging QM9 benchmark, ConsMTL reduces the average performance drop by over 30%.",Towards Consistent Multi-Task Learning: Unlocking the Potential of Task-Specific Parameters,No,No,Main Results,0,0.8
How animals communicate and whether they have languages is a persistent curiosity of human beings.,Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Motivation,0,0.8
"However, the study of animal communications has been largely restricted to data from field recordings or controlled environments, which is expensive and limited in scale and variety.",Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Motivation,0,0.8
"In this paper, we take domestic Shiba Inu dogs as an example and extract their vocal communications from a large amount of YouTube videos.",Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Paper Goal,0,0.8
"We classify these clips into different scenarios and locations, and further transcribe the audio into phonetically symbolic scripts through a systematic process.",Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Methodology,0,0.8
"We discover consistent phonetic symbols among their expressions, which indicate that Shiba Inu dogs can have systematic verbal communication patterns.",Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Main Results,0,0.8
This reusable framework produces the first-of-its-kind Shiba Inu vocal communication dataset that will be valuable to future research in both zoology and linguistics.,Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Contribution,0,0.8
It has long been an interesting interdisciplinary scientific challenge to understand the languages of animals.,Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Motivation,0,0.8
Dogs are one example of this challenge.,Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Motivation,0,0.8
"The difficulties of capturing the vocal expressions of dogs have been extensively discussed by linguists and anthropologists, who have sought to discover whether dogs have linguistic patterns.",Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,Yes,Motivation,1,0.8
"How to determine whether the dog is speaking or not, or if the dog is acting in a particular way?",Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,Yes,Motivation,1,0.8
How to record the audio of dogs?,Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,Yes,Motivation,1,0.8
How to avoid speakers who make speech but record them correctly?,Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,Yes,Motivation,1,0.8
How to classify different situations and activities by knowing what signals distinguish them?,Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,Yes,Motivation,1,0.8
"We introduce a reusable framework for transcribing animal voices from social media like YouTube, the framework is the first to assign phonetic symbols on dog barks as well as describe dogs' vocal communication in a formal way.",Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Contribution,0,0.8
"We release a novel Shiba Inu voice transcription dataset, which is the first of its kind in the CL community.",Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Contribution,0,0.8
We present some preliminary statistical findings from this dataset.,Transcribing Vocal Communications of Domestic Shiba Inu Dogs,No,No,Contribution,0,0.8
"We introduce the first training-free approach for Video Semantic Segmentation (VSS) based on pre-trained diffusion models, termed VidSeg.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Contribution,0,0.8
A growing research direction attempts to employ diffusion models to perform downstream vision tasks by exploiting their deep understanding of image semantics.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Motivation,0,0.8
"We tackle this problem by introducing a scene context model based on the diffusion features, which is trained with a pre-trained diffusion model, autoregressively updated per frame to adapt to changes in the video scene.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0.8
"Further, we propose a correspondence-based refinement strategy that combines coarse segmentation maps with fine-grain masks, using a pixel-wise voting scheme to aggregate predictions temporally, to enhance temporal consistency.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0.8
We aim to show that the proposed approach significantly outperforms existing training-free methods on various VSS benchmarks.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Paper Goal,0,0.8
"The proposed advance lies in building a scene context model based on the diffusion features, which we utilize to improve temporal consistency of coarse segmentation maps.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0.8
We then combine the contextual information of the coarse segmentation maps with the fine-grain masks to refine them further.,VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0.8
"By refining the coarse maps, we enhance the temporal consistency of the overall model.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Methodology,0,0.8
"We show that our approach can lead to better performance on various VSS benchmarks, even without pre-training, by leveraging the learning power of the diffusion models.",VidSeg: Training-free Video Semantic Segmentation based on Diffusion Models,No,No,Main Results,0,0.8
